"Title","Performance index"
"Value","Series Label","Build Number","Build Date","URL"
"4.3","Performance index","100","1645781942254",""
"4.3","Performance index","101","1645782062252",""
"4.4","Performance index","102","1645782182250",""
"4.4","Performance index","103","1645782302308",""
"1.4","Performance index","104","1645782422251",""
"4.7","Performance index","105","1645782542249",""
"4.7","Performance index","106","1645782662250",""
"1.5","Performance index","107","1645782782249",""
"4.4","Performance index","108","1645782902250",""
"4.6","Performance index","109","1645783022256",""
